Name1	Gal.long	Gal.lat	R.sol	R.GC	Metal	Mv	r.core	r.tidal	Conc	log.t	log.rho	S0	V.esc	VHB	E.B-V	Vt	CSBt
NGC_104  	305.895	-44.889	4.6	8.1	-0.75	-9.63	0.5	60.3	2.08	7.87	5.02	13.15	56.8	14.06	0.04	3.83	5.55
NGC_288  	151.147	-89.377	8.2	12.1	-1.39	-6.59	4.0	37.0	0.89	9.04	2.02	2.84	10.0	15.30	0.04	8.11	11.02
NGC_362  	301.533	-46.247	8.7	9.9	-1.39	-8.37	0.5	25.9	1.71	7.77	4.83	10.29	41.8	15.43	0.04	6.46	6.07
NGC_1261	270.539	-52.127	16.1	18.3	-1.17	-7.75	1.9	37.1	1.28	8.62	3.19	5.46	20.7	16.63	0.00	8.28	8.70
Pal_1   	130.067	19.023	13.7	20.3	-1.01	-2.54	0.6	19.9	NA	7.10	2.37	0.74	2.9	16.76	0.15	13.62	12.36
NGC_1466	286.700	-39.537	39.4	38.4	-2.15	-7.54	2.8	73.9	NA	8.82	2.48	3.69	14.3	18.80	0.07	10.66	10.23
AM_1    	258.360	-48.472	116.4	117.9	-1.68	-4.49	9.5	81.2	0.93	9.27	0.00	0.68	2.4	20.93	0.00	15.84	14.97
Eri     	218.108	-41.331	84.7	90.2	-1.22	-4.94	6.2	85.5	1.14	9.00	0.58	0.90	3.3	20.24	0.00	14.70	13.92
Ret     	268.664	-40.269	50.4	51.3	-2.01	-5.87	14.7	146.6	NA	9.74	-0.06	0.98	3.5	19.17	0.02	12.70	14.70
Pal_2   	170.532	-9.070	13.6	22.2	-1.68	-7.26	0.3	12.5	1.63	7.29	5.09	8.39	33.7	20.90	1.45	13.04	10.48
NGC_1841	297.016	-30.147	40.9	38.3	-1.56	-7.38	7.9	94.4	1.08	9.55	1.29	2.54	9.3	18.88	0.07	10.90	12.13
NGC_1851	244.512	-35.036	12.0	17.2	-1.25	-8.30	0.2	28.3	2.16	7.09	5.48	9.77	42.9	16.05	0.02	7.15	5.23
NGC_1904	227.231	-29.350	13.0	19.5	-1.47	-7.79	0.7	40.5	1.89	7.79	4.16	6.06	25.3	16.20	0.01	7.81	7.38
NGC_2298	245.629	-16.007	10.6	16.2	-2.06	-6.40	1.3	24.4	1.20	8.21	3.12	3.62	13.6	16.20	0.15	9.20	9.71
NGC_2419	180.370	25.242	91.4	99.4	-1.98	-9.58	11.1	284.8	1.38	10.05	1.53	4.86	18.8	20.50	0.03	10.32	10.99
AM_2    	248.126	-5.876	57.7	61.5	     NA	-6.50	26.0	98.7	NA	10.40	-0.09	1.38	4.6	21.10	0.53	14.00	16.03
NGC_2808	282.193	-11.252	9.5	11.6	-1.47	-9.47	0.7	39.2	1.76	8.13	4.85	14.13	57.9	16.20	0.22	6.13	6.28
E_3     	292.269	-19.018	8.3	9.7	-0.96	-4.20	4.5	25.2	NA	8.80	1.05	0.99	3.4	16.15	0.30	11.35	14.21
UKS_2   	276.003	-3.008	9.0	11.9	-0.37	-4.15	2.0	9.3	NA	8.33	2.17	1.55	5.2	17.75	0.74	13.00	13.75
Pal_3   	240.142	41.866	87.9	91.5	-1.68	-5.96	12.0	109.1	0.96	9.63	0.27	1.17	4.2	20.48	0.05	13.92	14.20
NGC_3201	277.229	8.641	5.0	9.5	-1.60	-7.47	1.6	52.4	1.55	8.40	3.12	4.36	17.3	14.75	0.21	6.68	9.69
